created_at,normalized_text,isu_teridentifikasi,sentiment_pred,prediksi_sentimen
2025-10-24,tinggal kita lihat polisi apa reaksi nya setelah ada laporan meme pak bahlil apa di tanggapi gercep,Isu Meme,Negatif,Negatif
2025-10-24,amboi amboooii bahlil sok iyess ditanyain siapa yang ngasi izin tambang di raja ampat malah kicep takut ditabok raja jawa,Isu Tambang,Negatif,Negatif
2025-10-24,kata lucu dimaafin bahlil,Isu Meme,Negatif,Negatif
2025-10-24,bahlil targetkan lelang epc gas masela tahun,Isu LPG,Netral,Netral
2025-10-24,ada yang bisa bikin meme bahlil ganteng,Isu Meme,Netral,Netral
2025-10-24,klaim saldo pas install apk shopeepay caranya upgrade ke spay plus login dg akun shopee amp masukin kode referral ffjwvwp diskon promo freelance job receh zonauang prabowo tom lembong gibran bahlil jokowi purbaya luhut anies budi arie hyunjin,Isu Meme,Netral,Netral
2025-10-24,tapi yang nyebarin meme belum bisa maafin bahlil ygy,Isu Meme,Negatif,Negatif
2025-10-24,tahun prabowo idrus marham bahlil lahadalia berhasil percepat reformasi tata kelola tambang dan energi wakil ketua umum dpp partai golkar idrus marham,Isu Tambang,Netral,Netral
2025-10-24,rp saldo dpt pas install apk shopeepay caranya upgrade ke spay plus login dg akun shopee amp masukin kode referral ffjwvwp diskon freelance job receh zonauang prabowo ran takahashi gibran bahlil jokowi purbaya luhut anies budi arie timnas,Isu Meme,Netral,Netral
2025-10-24,sebagai sosiolog dan ilmuan dari indonesia timur apresiasi bahlil yang maafkan penyebab meme dirinya bahlil maafkan penyebar meme dirinya saya sudah biasa dihina sejak kecil klik untuk baca,Isu Meme,Positif,Positif
2025-10-24,rp saldo dpt pas install apk shopeepay caranya upgrade ke spay plus login dg akun shopee amp masukin kode referral ffjwvwp diskon freelance job receh zonauang prabowo tom lembong gibran bahlil jokowi purbaya luhut anies budi arie seventeen,Isu Meme,Netral,Netral
2025-10-24,rp saldo dpt pas install apk shopeepay caranya upgrade ke spay plus login dg akun shopee amp masukin kode referral ffjwvwp diskon freelance job receh zonauang prabowo tom lembong gibran bahlil jokowi purbaya luhut anies budi arie hyunjin,Isu Meme,Netral,Netral
2025-10-24,kebanyakan nonton meme bahlil inimah,Isu Meme,Negatif,Negatif
2025-10-24,bahlil perintahkan setop laporan meme dirinya ke polisi jangan diperpanjang,Isu Meme,Netral,Netral
2025-10-24,meme bahlil berseliweran tapi btw itu yang ngatain bahlil gosong dll itu udah berlebihan sih menurut saya yang mesti di kritisi itu kebijakannya bukan fisik orang nya kalo bully fisik apa gak sama dengan membully penciftanya cuman bertanya tanya dengan nada sound horeg,Isu Meme,Negatif,Negatif
2025-10-24,belum masuk lapas karena meme bahlil jangan dulu pensi bang,Isu Meme,Netral,Netral
2025-10-24,bahlil menghibur orang dengan cara lain bukan prestasinya tapi dengan meme yang kocak,Isu Meme,Negatif,Positif
2025-10-24,rp saldo dpt pas install apk shopeepay ada promo serba seribu qris caranya upgrade ke spay plus login dg akun shopee amp masukin kode referral ffjwvwp diskon freelance job receh prabowo tom lembong gibran bahlil jokowi purbaya luhut anies suho,Isu Meme,Netral,Netral
2025-10-24,memang layak kok kan bahan bagus untuk meme karena kebijakan bahlil cenderung menyulitkan rakyat dan membuat gaduh di masyarakat kayak gak ada lagi anak bangsa yang lebih pantas untuk jadi menteri esdm,Isu Meme,Negatif,Negatif
2025-10-24,bahlil dan pendahulunya pasti sangat paham kemana larinya dana subsidi bbm,Isu LPG,Positif,Positif
2025-10-24,udah min makanya dari skrng fokus seputar jakarta saja meme bahlil mah cukup sehari sekali saja tiap jam pas warga makan siang,Isu Meme,Negatif,Negatif
2025-10-24,pas ada laporan gitu rakyat indo malah pada recall di base golkar ngeluarin meme bahlil,Isu Meme,Negatif,Negatif
2025-10-24,bonus saldo kalo install apk shopeepay caranya upgrade ke spay plus login dg akun shopee amp masukin kode referral ffjwvwp diskon promo freelance job receh zonauang ran takahashi hamish raisa prabowo gibran bahlil purbaya anies purbaya carmen,Isu Meme,Netral,Netral
2025-10-24,iya bahlil mentertawakan meme dirinya dan netizen mentertawakan bahlil klop sudah,Isu Meme,Negatif,Negatif
2025-10-24,melihat meme bahlil menit pertama tertawa menit selanjutnya mual,Isu Meme,Negatif,Negatif
2025-10-24,wkwkwkwk kenapa aku nangkepnya ada ya bahlil tau dia jadi meme dan dia hanya tertawa tahu jadi meme dan bahlil cm tertawa,Isu Meme,Negatif,Negatif
2025-10-24,adakan lomba meme bahlil di internal kementrian donk pasti kreatifitas anak buah akan tersalurkan dengan baik,Isu Meme,Positif,Positif
2025-10-24,gw gak sudi di otak orang secakep itu ada nama bahlil yang hina nooo mamah,Isu Meme,Negatif,Negatif
2025-10-24,anyingggg gara repost foto jelek bahlil,Isu Meme,Negatif,Negatif
2025-10-24,lu bayangin jam segini ngikik gara liat meme bahlil monn maapp tpi emg selucu itu bjirrr,Isu Meme,Negatif,Negatif
2025-10-24,rp saldo dpt pas install apk shopeepay caranya upgrade ke spay plus login dg akun shopee amp masukin kode referral ffjwvwp diskon freelance job receh prabowo tom lembong gibran bahlil jokowi purbaya ran takahashi luhut anies taehyung jennie,Isu Meme,Netral,Netral
2025-10-24,dihina lewat meme menteri bahlil lahadalia balas menohok belum tentu orang ganteng itu cerdas,Isu Meme,Negatif,Negatif
2025-10-24,cepot mukanya unik dan lucu lah bahlil jir gak berbentuk kaya gatau ini spesies apaan,Isu Meme,Negatif,Negatif
2025-10-24,karena keseringan jadi meme karir bahlil nanti bisa cemerlang di dunia entertainment bisabisa jadi talent lapor pak walaupun nahan malu tiap episode digoreng terus masa lalunya who knows,Isu Meme,Negatif,Negatif
2025-10-24,rp saldo dpt pas install apk shopeepay caranya upgrade ke spay plus login dg akun shopee amp masukin kode referral ffjwvwp diskon freelance job receh prabowo tom lembong gibran bahlil jokowi purbaya ran takahashi luhut anies winter jungkook,Isu Meme,Netral,Netral
2025-10-24,gaskeeeeun buat meme bahlil lagi komen dibawaaah,Isu Meme,Positif,Positif
2025-10-24,effort banget lu emang boleh ya hina orang keren gini aga gak takut ditangkap bahlil,Isu Meme,Negatif,Negatif
2025-10-24,doli golkar dulu juga bilang uu perampasan aset belum sesuai waktunya misbakhun mantan napi korup mengkritik purbaya bahlil etanol buat orang mati gegara ngantri gas melon golkar ini partai atau gerombolan sih,Isu LPG,Negatif,Negatif
2025-10-24,hi bahlil rafa anomali akunku vibesnya apa rate akun aku jelasin juga alasannya siapa orang yang suka cek bolakbalik akun aku,Isu Meme,Negatif,Negatif
2025-10-24,eh bahlil otak lu korengan atw gmn harga sblm subsidi disubsidi rbkg x kg jadi tggl terus ngapa lu jual rb amp duit nya lu kemanain emg pe a nie pentol korek bsk diralat lg bs nya org kek gini dijadiin mentria p,Isu LPG,Negatif,Negatif
2025-10-24,yamal gue bner gatau deh ama kelakuan lu kalo gak jago udah dijadiin meme lu kek bahlil,Isu Meme,Negatif,Negatif
2025-10-24,bayangin aku tbtb masuk penjara terus dispen kuliah cm gagara repost meme bahlilgiak masuk akal lol,Isu Meme,Negatif,Negatif
2025-10-24,bonus saldo kalo install apk shopeepay caranya upgrade ke spay plus login dg akun shopee amp masukin kode referral ffjwvwp diskon promo freelance job receh zonauang ran takahashi hamish raisa prabowo gibran bahlil purbaya anies pssi trump putin,Isu Meme,Netral,Netral
2025-10-24,ayo kita hina bahlil lagi,Isu Meme,Negatif,Netral
2025-10-24,bahlil lagi disorot kinerjanya yang jelek jadi gak bakalan bahlil melaporkan sendiri yang bikin meme,Isu Meme,Negatif,Negatif
2025-10-24,mau minta maaf dulu kalo seandainya nanti aku bakal jarang aktif soalnya aku bakal ke penjara karena jadi salah satu orang yang suka hina bahlil semangat terus ya buat kalian semua nanti aku bakal balik lagi kalo udah keluar penjara ya penjara im coming bro,Isu Meme,Negatif,Negatif
2025-10-24,point of view org beda beda bang kita kritik bahlil soal gas melon atau bbm subsidi ngatain dia tolol goblok ya ayuk saja karena dia menteri di bidang itu,Isu LPG,Negatif,Negatif
2025-10-24,kalau mau dipenjara pembuat meme lu bahlil tu penjara gak bakal muat lil,Isu Meme,Negatif,Negatif
2025-10-24,kirain yang nyebarin meme bahlil saja yang di penjara ternyata bunuh tikus juga di penjara yaa,Isu Meme,Negatif,Negatif
2025-10-24,bahlil lahadalia dikenal dengan branding sebagai politisi probisnis fokus pada investasi dan sumber daya alam ia mantan ketua bkpm kini menteri esdm di era prabowo rating alasan kritik atas kebijakan seperti kuota tambang yang dibatalkan karena backlash jakarta,Isu Tambang,Netral,Netral
2025-10-24,klaim saldo pas install apk shopeepay caranya upgrade ke spay plus login dg akun shopee amp masukin kode referral ffjwvwp diskon promo freelance job receh zonauang ran takahashi hamish raisa prabowo gibran bahlil purbaya anies lisa jennie,Isu Meme,Netral,Netral
2025-10-24,sangat menyentuh sebuah kesempatan bagi semua rakyat untuk jadi pemimpin gibrn bahlil gas oke,Isu LPG,Positif,Positif
2025-10-24,kontestasi simbolik di dunia digital analisis meme bahlil lahadalia dengan teori pierre bourdieu,Isu Meme,Netral,Netral
2025-10-24,menteri esdm bahlil lahadalia memaafkan pembuat dan penyebar meme berisi hinaan terhadap dirinya ia menilai kritik terhadap kebijakan pemerintah adalah hal wajar namun mengingatkan agar tidak menyerang ranah pribadi dan rasial bahlil bahkan mengaku sudah terbiasa dengan,Isu Meme,Netral,Netral
2025-10-24,lah bangkit lagi ini akun gua kira diciduk bahlil,Isu Meme,Negatif,Negatif
2025-10-24,guys udah boleh upload meme bahlil lagi gassss,Isu Meme,Netral,Netral
2025-10-24,rp saldo dpt pas install apk shopeepay caranya upgrade ke spay plus login dg akun shopee amp masukin kode referral ffjwvwp diskon freelance job receh zonauang hamish raisa ran takahashi jule daehoon durian aqua wonwoo bahlil pertamina,Isu Meme,Netral,Netral
2025-10-24,ketua umum partai golkar sekaligus menteri esdm bahlil lahadalia menanggapi santai beredarnya meme wajahnya di media,Isu Meme,Netral,Netral
2025-10-24,saya dong sampe saya follow akun ig nya bahlil awokwowkwowkok,Isu Meme,Netral,Netral
2025-10-24,klaim saldo pas install apk shopeepay caranya upgrade ke spay plus login dg akun shopee amp masukin kode referral ffjwvwp diskon promo freelance job receh zonauang hamish raisa ran takahashi durian portugis aqua mingyu bahlil pertamina,Isu Meme,Netral,Netral
2025-10-24,pak bahlil juga ganteng yang gak ganteng itu kebijakanya yang super aneh bahkan ada yang sampai meninggal gegera gas elpiji kg dan ketahuan disertasi doktoral nya itu loh yang bikin malu sedunia,Isu LPG,Negatif,Negatif
2025-10-24,keknya bntr lg ak dipenjara gegara menyebarkan meme bahlil,Isu Meme,Negatif,Negatif
2025-10-24,kanda bahlil ini orangnya baik dan pemaaf mending pindah partai saja kanda bawahannya di golkar itu orang orangnya kaku gak humoris dikit dikit polisi,Isu Meme,Negatif,Negatif
2025-10-24,video bahlil lahadalia minta pembuat meme pahami etika demokrasi,Isu Meme,Netral,Netral
2025-10-24,mau daftar jadi divisi meme bahlil pak,Isu Meme,Netral,Netral
2025-10-24,apa gak mau bikin akun daily bahlil namanya lahadaily,Isu Meme,Netral,Netral
2025-10-24,suruh bahlil lapor sendiri kalau merasa tercemar,Isu Meme,Negatif,Negatif
2025-10-24,rp saldo dpt pas install apk shopeepay caranya upgrade ke spay plus login dg akun shopee amp masukin kode referral ffjwvwp diskon freelance job receh zonauang hamish raisa ran takahashi durian portugis aqua mingyu pertamina bahlil,Isu Meme,Netral,Netral
2025-10-24,challenge sehari gak ngetagin meme bahlil starts now,Isu Meme,Netral,Netral
2025-10-24,maafkan pembuat meme dirinya bahlil minta sayap partai golkar cabut laporan,Isu Meme,Netral,Netral
2025-10-24,bahlil menteri esdm memaafkan pemilik akun viral meme kan dirinya secara tak etisltuntunglah kalian yang hobi meme meme gak juelasz mentang bisa utak atik atau ai via it tak etis tak bolehkritik jgn fisik sara dllgt,Isu Meme,Negatif,Negatif
2025-10-24,tegas bahlil minta tambang emas ilegal di mandalika diproses hukum,Isu Tambang,Netral,Netral
2025-10-24,pasti bahah propoganda meme bahlil masuk penjara,Isu Meme,Negatif,Negatif
2025-10-24,bonus saldo kalo install apk shopeepay caranya upgrade ke spay plus login dg akun shopee amp masukin kode referral ffjwvwp diskon promo freelance job receh zonauang ran takahashi raisa prabowo gibran bahlil jokowi purbaya anies pssi bumn dita,Isu Meme,Netral,Netral
2025-10-24,kata lucu bahlil ngomongin etika,Isu Meme,Negatif,Positif
2025-10-24,sebaiknya kita mengheningkan cipta sejedak untuk rekan yang ngeshare meme bahlil bang,Isu Meme,Netral,Netral
2025-10-24,halo branding akunmu cenderung casual dan humoris fokus pada meme lokal sepak bola indonesia seperti pssi timnas dan obrolan seharihari dengan bahasa jawagaul bio phobia foto bahlil tambah nuansa jenaka rating alasan kontenmu engaging dan relatable buat,Isu Meme,Positif,Positif
2025-10-24,ngelaporin yang upload meme dia he thinks he s bahlil,Isu Meme,Negatif,Negatif
2025-10-24,gw bikinin sajak buat elu lil oh laha laha laha laha bukan ratu laha bukan raja kendati ia takut pada raja jawa laha laha lahadalia nama fam maluku jong maluku benci bahlil bahlil bahlil tititnya kuning sekuning golkar atau sekuning biosolar abiezz,Isu Tambang,Negatif,Negatif
2025-10-24,liat komen di tiktok golkar isinya pada ngirim meme bahlil,Isu Meme,Netral,Negatif
2025-10-24,katanya gak boleh baper tapi meme dilaporkan gua kira meme itu buat hiburan ternyata meteran buat masuk penjara selamat datang di indonesia wkwkland,Isu Meme,Negatif,Negatif
2025-10-24,bahlil beberkan progres proyek gas jumbo ri kapan beroperasi,Isu LPG,Netral,Netral
2025-10-24,tetaplah bertahan walaupun tak berguna narasi ini menunjukkan bicara kesadaran diri itu sangat sulit diimplementasikan sebagai bagian dari tanggung jawab moral bayangkan penilaian publik minus paling tinggi tidak membuat bahlil mundur jangankan selangkah sejengkalpun tidak,Isu LPG,Negatif,Negatif
2025-10-24,anjing gua ngetawain meme bahlil hampir setengah hari gebrakan masyarakat konoha ada ada aje,Isu Meme,Negatif,Negatif
2025-10-24,fck fck gak kuat banget sama meme bahlil busung lapar,Isu Meme,Negatif,Negatif
2025-10-24,terlepas kadang kelakuannya yang rada wtf ini berlebihan sih kalau sampe ke fisik udah gak sehat overhate racist doang jatuhnya gak ada nilai kritisnya sama sekali tapi gw lebih salut sama mentalnya bahlil dihina segitu banyak masih legowo diluar negeri yang begini auto penjara,Isu Meme,Negatif,Negatif
2025-10-24,tiada hari tanpa meme bahlil menghiasi semua sosmedku,Isu Meme,Netral,Netral
2025-10-24,bahlil maafkan pembuat meme dirinya saya sudah biasa dihina sejak kecil,Isu Meme,Netral,Netral
2025-10-24,info meme bahlil,Isu Meme,Netral,Netral
2025-10-24,tl gw is a whole chaos anj ya bahlil lah ya asian people lah ya carat lah ya solo stan nct lahh disclaimer ini bukan dari satu akun doang hampir semua akun gw isinya keributan,Isu Meme,Negatif,Negatif
2025-10-24,pernyataan kontradiktif bahlil memaafkan netizen bukan karena ada yang minta maaf tapi karena terlalu banyak yang bikin meme dia,Isu Meme,Negatif,Negatif
2025-10-24,dipenjara gara apa bg nambang emas di lahan sendiri bang kalau lu bikin meme tentang bahlil bang,Isu Meme,Negatif,Negatif
2025-10-24,yeeayy makasih bahlil bagi meme bahlil geeddsss,Isu Meme,Positif,Positif
2025-10-24,ketua umum partai golkar bahlil lahadalia meminta pelaporan dirinya terkait meme di media sosial medsos untuk disetop ia mengaku telah memanggil sekjen golkar sarmuji untuk memberi arahan kepada kaderkader tersebut saya nanti kasih tahu sama sekjen sekjen kemarin,Isu Meme,Netral,Netral
2025-10-24,akhirnya ada penyegaran mata setelah seliweran meme bahlil,Isu Meme,Netral,Netral
2025-10-24,abis liatin sekumpulan meme bahlil,Isu Meme,Netral,Netral
2025-10-24,menteri esdm bahlil lahadalia menyatakan telah memaafkan pihak yang membuat ujaran kebencian berupa meme tentang dirinya dan meminta sayap organisasi partai golkar untuk menghentikan proses pelaporan terkait hal tersebut saya pikir ya kalau ada meme sudah lah saya maafkan,Isu Meme,Netral,Netral
2025-10-24,bahlil lahadalia ungkap arahan prabowo soal energi bersih dan hilirisasi tambang,Isu Tambang,Netral,Netral
2025-10-24,menteri esdm bahlil lahadalia memaafkan para pembuat dan penyebar meme dengan konten yang menghina dirinya dia menilai kritik terhadap kebijakan yang dikeluarkannya merupakan hal yang wajar,Isu Meme,Netral,Netral
2025-10-24,harihari lihat meme bahlil,Isu Meme,Netral,Netral
2025-10-24,bahlil minta relawanorganisasi partai setop lapor akun penyebar meme,Isu Meme,Netral,Netral
2025-10-24,menteri energi dan sumber daya mineral esdm bahlil lahadalia mengingatkan kepada seluruh masyarakat untuk tidak menghina satu sama lain dia pun menyinggung soal pihak yang mengejek dirinya lewat meme dan disebarkan di seluruh platform media sosial medsos menurutnya setiap,Isu Meme,Netral,Netral
2025-10-24,potensi memeable segede bahlil masa iya berhenti sampai di sini terimakasih pak kita lanjut bikin meme lagi,Isu Meme,Negatif,Negatif
2025-10-24,lucu banget alasan nya golkar laporkan bukan bela bahlil tapi menjaga medsos dari ujaran tidak baik,Isu Meme,Negatif,Negatif
2025-10-24,gas gabung fandom remas pentil remaja masjid pecinta bahlil,Isu LPG,Netral,Netral
2025-10-24,tapi ingat yak mr bahlil anda tidak akan saya maafkan atas terjadinya kerusakan didaerah saya karena kebijakan pembangunan geotermal yang anda tanda tangani amp setujui di daerah saya yang sekarang sudah proses pengeboran wilayah tambang,Isu Tambang,Negatif,Negatif
2025-10-24,bonus pas install apk shopeepay saldo caranya upgrade ke spay plus login dg akun shopee amp masukin kode referral ffjwvwp diskon promo freelance job receh zonauang ran takahashi hamish raisa prabowo bahlil purbaya pssi pink cha eunwoo winny,Isu Meme,Netral,Netral
2025-10-24,branding akunmu penggemar sepak bola utamanya inter milan dari bio interista per sempre dan post tentang jersey conte dll campur komentar sosialpolitik indonesia seperti meme bahlil atau isu lokal plus humor ringan rate alasan konsisten tema bola amp aktual bio,Isu Meme,Netral,Netral
2025-10-24,menteri esdm bahlil lahadalia menyampaikan sikap memaafkan terhadap pembuat meme negatif mengenai dirinya dalam jumpa pers di jakarta bahlil menekankan bahwa ia terbuka terhadap kritik atas kebijakan yang dibuat namun sangat menyayangkan apabila kritik tersebut sudah,Isu Meme,Netral,Netral
2025-10-24,bahlil minta kader golkar setop laporkan pembuat meme menghina,Isu Meme,Netral,Netral
2025-10-24,bikin meme bahlil,Isu Meme,Negatif,Netral
2025-10-24,lah dia yang hrs nya minta maaf sama masyarakat kebijakan dia banyak bikin masyarakat kesulitan gas lpg bbm langka spbu swasta gabisa kembali normal belum lg masalah tambang gak ada malunya lu bahlil,Isu Tumpang Tindih,Negatif,Negatif
2025-10-24,dipuji tidak terbang dihina tidak tumbang hidup tambang eh bahlil,Isu Tambang,Positif,Positif
2025-10-24,ya jangan kak lebih serem kena somasi daripada upload meme bahlil,Isu Meme,Negatif,Negatif
2025-10-24,jadi udah boleh bikin meme bahlil lagi,Isu Meme,Netral,Netral
2025-10-24,mau meme tentang bahlil contoh sederhana gambar dia lagi pidato caption investasi masuk meme keluar lebih cepat kalau mau yang lain kasih ide spesifik ya,Isu Meme,Netral,Netral
2025-10-24,bikin meme bahlil,Isu Meme,Negatif,Netral
2025-10-24,bel km gak mabok meme bahlil kn,Isu Meme,Positif,Positif
2025-10-24,oh iya saya cek postpost tearsntweet tapi gak nemu yang tentang meme bahlil kalo sering itu bisa tambah elemen humor politik ke branding emosional dan relatablenya punya contoh spesifik,Isu Meme,Positif,Positif
2025-10-24,wkwk gak akan gw recokin kalo itu akun rps bikin tweetnarasi halu jorok tokohnya dia sama bahlil masalahnya oknum rps itu demen bikin narasi jorok ttg idol yang mana idol tsb gak pernah ngasih consent bolehin akun rps bikin au halu jorok ttg mrk,Isu Meme,Negatif,Negatif
2025-10-24,org menghina fisik bahlil kok bangga bahlil jujur dia waktu kecil stunting makan seadanya merantau ke papua gila saja ada org menghina fisik org lain dibanggakan,Isu Tambang,Negatif,Negatif
2025-10-24,akun ini anjir nanya sekali lagi dapet kecupan bahlil,Isu Meme,Netral,Negatif
2025-10-24,wkwkwk makin di kasusin makin di ramein meme nya om bahlil,Isu Meme,Negatif,Negatif
2025-10-24,ampi laporkan an akun medsos terkait dugaan pencemaran nama ketua umum partai golkar bahlil lahadalia,Isu Meme,Netral,Netral
2025-10-24,sering post meme bahlil juga tauu,Isu Meme,Netral,Netral
2025-10-24,gak akan di penjara kayak kita menghina bahlil,Isu Meme,Negatif,Negatif
2025-10-24,rp saldo dpt pas install apk shopeepay caranya upgrade ke spay plus login dg akun shopee amp masukin kode referral ffjwvwp diskon freelance job receh prabowo tom lembong gibran bahlil jokowi purbaya ran takahashi luhut anies pssi pink,Isu Meme,Netral,Netral
2025-10-24,menteri esdm bahlil lahadalia merespon soal konten meme dirinya yang tersebar di media sosial ia mengaku tak mempermasalahkan meme tersebut bahkan ia juga mengaku telah memaafkan pembuat meme tersebut,Isu Meme,Netral,Netral
2025-10-24,jadi begini ceritanya kasus kriminal amp koruptor jgn dibesar kan kasus keracunan mbg jangan diramaikan kasus kereta cepat jgn di viral kan segera alihkan isu dg sumber sumur bor nah kalo ini beda kasus tentang meme pejabat polisikan sisir dan tangkap bahlil melawan,Isu Meme,Negatif,Negatif
2025-10-24,bahlil diem saja udah jdi meme njir,Isu Meme,Negatif,Negatif
2025-10-24,bahlil lahadalia maafkan pembuat meme viral tapi beri peringatan keras ini,Isu Meme,Netral,Netral
2025-10-24,sungguh mulia sekali kanda ini yok ramaikan lagi meme bahlil,Isu Meme,Negatif,Negatif
2025-10-24,gita nia dkk drpd ngegibah kaga jelas mending share meme bahlil aje,Isu Meme,Negatif,Negatif
2025-10-24,drop meme bahlil guys mau koleksi,Isu Meme,Netral,Netral
2025-10-24,bahlil maafkan pembuat meme yang hina dirinya di medsos,Isu Meme,Negatif,Negatif
2025-10-24,agak susah sih keknya si bahlil ini berbalik dapat simpati dari publik perkara lpg kg kemarin sebenarnya isu yang paling krusial ngerusak reputasinya,Isu LPG,Negatif,Negatif
2025-10-24,sudah waktunya spam meme bahlil,Isu Meme,Negatif,Negatif
2025-10-24,dpp partai golkar akan menegur kader yang melaporkan pembuat meme bahlil lahadalia ke polisi langkah tersebut disebut tidak melalui koordinasi partai,Isu Meme,Netral,Netral
2025-10-24,sejujurnya meme bahlil lebih cakep dibanding aslinya,Isu Meme,Positif,Positif
2025-10-24,sejauh ini ini yang paling jauh sih meski bahlil memang layak dihina tapi gak boleh gitu juga kali apalagi kan bahlil belakangan lagi hobi lapor polisi tentang pencemaran nama baik,Isu Meme,Negatif,Negatif
2025-10-24,akun berderet isinya bahlil memaafkan akun penyebar meme dirinya,Isu Meme,Netral,Netral
2025-10-24,menteri esdm sekaligus ketua umum partai golkar bahlil lahadalia menanggapi santai soal meme berwajah dirinya yang beredar di media sosial ia bahkan memaafkan para pembuat meme dan meminta organisasi sayap golkar menghentikan rencana pelaporan ke polisi dan saya pikir ya,Isu Meme,Netral,Netral
2025-10-24,pengen ku masukkan meme bahlil ke ppt,Isu Meme,Netral,Netral
2025-10-24,mau negatif negatop kek bahlil memang pantas di hina,Isu Meme,Negatif,Negatif
2025-10-24,berpotensi cedera rahang kalau meme bahlil berserakan di tl,Isu Meme,Negatif,Negatif
2025-10-24,kok elu ikutan nyebar meme bahlil bang,Isu Meme,Netral,Netral
2025-10-24,jarang banget media publikasi coach nova lagi pada fokus ke et bensin oplos meme bahlil kak btw makasih info nya,Isu Meme,Negatif,Negatif
2025-10-24,branding akunmu akun pribadi dengan fokus komentar sosialpolitik kritis humor receh dan konten seharihari dalam bahasa jawaindonesia campur kayak kritik orba bahlil atau meme lucu mirip akun netizen biasa yang santai tapi vokal rating alasan konsisten gaya,Isu Meme,Negatif,Negatif
2025-10-24,menteri esdm sekaligus ketua umum partai golkar bahlil lahadalia memaafkan pembuat meme yang menghina dirinya ia bilang kritik terhadap kebijakan bukan masalah tapi tak pantas kalau sudah menyentuh hal pribadi atau bernada rasial saya pikir kalau ada yang memememe apa,Isu Meme,Netral,Netral
2025-10-24,bahlil lahadalia menanggapi santai meme berwajahnya ia mengaku sudah terbiasa dengan hinaan sejak kecil,Isu Meme,Netral,Netral
2025-10-24,orang yang ngehina ngetawain dan ngejokes pak bahlil pasti belum ketemu orangnya langsung sebaik dan sehumble itu dia sama orang baru salah satunya gw yang awalnya cuma lihat meme nya malah bisa jadi fansnya semua yang udah ketemu sama dia pasti sependapat sama gw,Isu Meme,Positif,Positif
2025-10-24,list akun yang bikin mukaa bahlil jadi meme tapi orangnya sudah mau cabut laporan dan memaafkan,Isu Meme,Negatif,Negatif
2025-10-24,menteri esdm bahlil lahadalia mengingatkan kepada seluruh masyarakat untuk tidak menghina satu sama lain ia pun menyinggung soal pihak yang mengejek dirinya lewat meme dan disebarkan di seluruh platform media sosial medsos menurutnya setiap manusia tak ada yang sempurna,Isu Meme,Netral,Netral
2025-10-24,bahlil kalau kerjanya bnr dan pro rakyat gak bakal di buat meme bnyk seperti harusnya golkar intropeksi,Isu Meme,Negatif,Negatif
2025-10-24,menteri energi dan sumber daya mineral esdm bahlil lahadalia angkat bicara soal pelaporan akun pembuat serta penyebar meme yang berisi hinaan terhadap dirinya,Isu Meme,Netral,Netral
